lat,long
55.03803,-1.71035
55.03734,-1.71072
55.03684,-1.71078
55.03678,-1.71087
55.03660,-1.71123
55.03693,-1.71304
55.03689,-1.71322
55.03690,-1.71331
55.03692,-1.71352
55.03684,-1.71331
55.03622,-1.71228
55.03606,-1.71233
55.03595,-1.71224
55.03568,-1.71177
55.03497,-1.71080
55.03299,-1.70815
55.03130,-1.70506
55.03017,-1.70317
55.02944,-1.70213
55.02883,-1.70130
55.02862,-1.70201
55.02834,-1.70366
55.02810,-1.70486
55.02797,-1.70578
55.02801,-1.70622
55.02787,-1.70657
55.02773,-1.70822
55.02773,-1.70834
55.02758,-1.70843
55.02739,-1.70972
55.02707,-1.71230
55.02642,-1.71523
55.02579,-1.71777
55.02556,-1.72024
55.02532,-1.72235
55.02483,-1.72326
55.02328,-1.72540
55.02268,-1.72672
55.02253,-1.72831
55.02180,-1.73265
55.02160,-1.73326
55.02094,-1.73415
55.02056,-1.73512
55.02034,-1.73599
55.01888,-1.73888
55.01823,-1.74201
55.01651,-1.74776
55.01560,-1.75067
55.01580,-1.75351
55.01591,-1.75533
55.01596,-1.75614
55.01597,-1.75646
55.01576,-1.75647
55.01545,-1.75649
55.01503,-1.75652
55.01466,-1.75653
55.01397,-1.75660
55.01277,-1.75671
55.00989,-1.75693
55.00736,-1.75693
55.00565,-1.75695
55.00443,-1.75694
55.00389,-1.75686
55.00319,-1.75668
55.00294,-1.75644
55.00277,-1.75651
55.00272,-1.75662
55.00236,-1.75668
55.00219,-1.75664
55.00186,-1.75636
55.00181,-1.75623
55.00163,-1.75612
55.00133,-1.75610
55.00016,-1.75519
54.99943,-1.75489
54.99794,-1.75460
54.99637,-1.75425
54.99615,-1.75397
54.99601,-1.75392
54.99590,-1.75410
54.99565,-1.75417
54.99548,-1.75406
54.99522,-1.75366
54.99495,-1.75314
54.99359,-1.75218
54.99280,-1.75134
54.99187,-1.74978
54.99123,-1.74846
54.99123,-1.74841
54.99121,-1.74837
54.99116,-1.74837
54.99074,-1.74804
54.99021,-1.74785
54.98972,-1.74739
54.98934,-1.74652
54.98866,-1.74550
54.98705,-1.74358
54.98660,-1.74339
54.98609,-1.74342
54.98606,-1.74356
54.98550,-1.74488
54.98461,-1.74704
54.98466,-1.74749
54.98494,-1.74829
54.98519,-1.74973
54.98514,-1.74999
54.98504,-1.75020
54.98514,-1.74999
54.98519,-1.74973
54.98495,-1.74866
54.98457,-1.74760
54.98394,-1.74655
54.98261,-1.74494
54.98193,-1.74400
54.98149,-1.74313
54.98110,-1.74196
54.98052,-1.73758
54.98040,-1.73442
54.98003,-1.73238
54.97856,-1.72435
54.97815,-1.72171
54.97806,-1.72007
54.97784,-1.71865
54.97739,-1.71733
54.97712,-1.71620
54.97682,-1.71506
54.97625,-1.71188
54.97547,-1.70847
54.97491,-1.70482
54.97446,-1.70315
54.97428,-1.70268
54.97433,-1.70213
54.97441,-1.70109
54.97468,-1.69992
54.97508,-1.69953
54.97549,-1.69938
54.97603,-1.69942
54.97653,-1.69917
54.97683,-1.69882
54.97689,-1.69784
54.97687,-1.69700
54.97646,-1.69566
54.97654,-1.69479
54.97596,-1.69440
54.97494,-1.69342
54.97481,-1.69302
54.97429,-1.69289
54.97386,-1.69148
54.97337,-1.69016
54.97308,-1.68980
54.97341,-1.68874
54.97388,-1.68773
54.97509,-1.68602
54.97536,-1.68517
54.97538,-1.68360
54.97463,-1.68242
54.97441,-1.68173
54.97420,-1.68005
54.97377,-1.67646
54.97335,-1.67115
54.97309,-1.66941
54.97233,-1.66620
54.97159,-1.66310
54.97126,-1.66173
54.97099,-1.66061
54.97125,-1.66050
54.97113,-1.65993
54.97151,-1.65976
54.97190,-1.65959
54.97224,-1.65946
54.97228,-1.65968
54.97298,-1.65943
54.97374,-1.65916
54.97418,-1.65900
54.97576,-1.65843
54.97607,-1.65832
54.97614,-1.65878
54.97629,-1.65872
54.97667,-1.65859
54.97675,-1.65902
54.97681,-1.65931
54.97667,-1.65859
54.97645,-1.65866
54.97635,-1.65810
54.97630,-1.65778
54.97612,-1.65669
54.97596,-1.65565
54.97562,-1.65357
54.97520,-1.65098
54.97474,-1.64831
54.97468,-1.64825
54.97467,-1.64811
54.97400,-1.64364
54.97260,-1.63466
54.97168,-1.62910
54.97094,-1.62364
54.97073,-1.62362
54.97011,-1.62378
54.96942,-1.62407
54.96943,-1.62419
54.96945,-1.62436
54.96942,-1.62407
54.96939,-1.62381
54.96914,-1.62388
54.96939,-1.62381
54.96985,-1.62364
54.96981,-1.62342
54.96976,-1.62328
54.96974,-1.62295
54.96969,-1.62294
54.96994,-1.62276
54.96994,-1.62194
54.96981,-1.62131
54.96968,-1.62073
54.97000,-1.62053
54.97063,-1.62042
54.97000,-1.62053
54.96968,-1.62073
54.96900,-1.62146
54.96864,-1.62175
54.96799,-1.62201
54.96772,-1.62193
54.96752,-1.62177
54.96753,-1.62163
54.96806,-1.62097
54.96841,-1.62064
54.96850,-1.62011
54.96864,-1.61909
54.96891,-1.61795
54.96912,-1.61648
54.96934,-1.61646
54.96943,-1.61528
54.96969,-1.61401
54.97016,-1.61220
54.97005,-1.61203
54.97015,-1.61174
54.97026,-1.61143
54.97043,-1.61168
54.97097,-1.61026
54.97124,-1.60957
54.97133,-1.60960
54.97160,-1.60991
54.97195,-1.61017
54.97249,-1.61079
54.97306,-1.61105
54.97421,-1.61166
54.97528,-1.61242
54.97661,-1.61311
54.97753,-1.61347
54.97814,-1.61387
54.97852,-1.61363
54.97874,-1.61407
54.97948,-1.61526
54.97928,-1.61496
54.97924,-1.61467
54.97937,-1.61463
54.97952,-1.61453
54.97984,-1.61390
54.98009,-1.61359
54.98014,-1.61335
54.98013,-1.61315
54.98024,-1.61276
54.98070,-1.61261
54.98118,-1.61259
54.98116,-1.61210
54.98117,-1.61173
54.98139,-1.61180
54.98158,-1.61193
54.98211,-1.61204
54.98241,-1.61201
54.98258,-1.61173
54.98272,-1.61162
54.98292,-1.61160
54.98324,-1.61156
54.98331,-1.61156
54.98335,-1.61165
54.98368,-1.61192
54.98376,-1.61186
54.98414,-1.61176
54.98432,-1.61183
54.98440,-1.61207
54.98425,-1.61304
54.98412,-1.61414
54.98412,-1.61431
54.98429,-1.61473
54.98465,-1.61559
54.98429,-1.61473
54.98412,-1.61431
54.98413,-1.61426
54.98415,-1.61382
54.98440,-1.61207
54.98432,-1.61183
54.98414,-1.61176
54.98382,-1.61179
54.98368,-1.61192
54.98335,-1.61165
54.98331,-1.61156
54.98324,-1.61156
54.98292,-1.61160
54.98272,-1.61162
54.98258,-1.61173
54.98241,-1.61201
54.98211,-1.61204
54.98158,-1.61193
54.98139,-1.61180
54.98117,-1.61173
54.98086,-1.61178
54.98036,-1.61194
54.98024,-1.61181
54.98026,-1.61199
54.98003,-1.61211
54.97963,-1.61227
54.97919,-1.61263
54.97926,-1.61285
54.97919,-1.61263
54.97905,-1.61278
54.97894,-1.61212
54.97895,-1.61180
54.97894,-1.61179
54.97882,-1.61179
54.97894,-1.61179
54.97895,-1.61180
54.97894,-1.61212
54.97886,-1.61262
54.97862,-1.61286
54.97823,-1.61327
54.97803,-1.61324
54.97787,-1.61347
54.97781,-1.61355
54.97735,-1.61340
54.97626,-1.61297
54.97591,-1.61281
